duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
260,20,0.571,0.988,11,-3.588,0.131,0.0383,0.00288,0.0421,0.82,174.996,734.0,184.0
186,49,0.686,0.566,4,-11.567,0.0496,0.159,0.0221,0.104,0.698,94.977,295.0,74.0
232,14,0.423,0.329,5,-15.726,0.0351,0.702,0.0803,0.102,0.318,184.259,697.0,174.0
330,31,0.588,0.378,5,-7.746,0.0338,0.768,0.0,0.0635,0.574,173.307,936.0,233.0
230,16,0.19,0.967,7,-4.891,0.111,4.17e-06,0.247,0.375,0.289,87.243,338.0,85.0
332,19,0.409,0.993,3,-1.943,0.112,1.31e-05,0.683,0.149,0.0693,114.983,628.0,158.0
268,5,0.806,0.914,1,-8.58,0.0504,0.00473,0.916,0.055,0.794,117.121,521.0,130.0
191,58,0.574,0.734,0,-6.64,0.0288,0.000838,3.33e-05,0.183,0.881,149.996,476.0,118.0
147,8,0.359,0.369,2,-16.999,0.0674,0.792,0.506,0.0986,0.124,126.558,306.0,76.0
219,18,0.671,0.9,9,-4.278,0.028,0.169,1.63e-05,0.338,0.968,120.028,435.0,109.0
262,59,0.629,0.56,11,-4.95,0.0247,0.226,0.0,0.344,0.224,106.764,461.0,114.0
147,26,0.683,0.484,8,-12.922,0.103,0.298,0.0,0.199,0.516,106.92,246.0,61.0
133,16,0.32,0.13,1,-17.909,0.0342,0.936,0.944,0.105,0.0613,65.57,140.0,34.0
220,22,0.484,0.783,11,-7.923,0.0313,0.0119,0.899,0.103,0.77,164.006,578.0,143.0
